neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Ross,22628,47064,5950,151,427,95705,8350,24794,1976,70704,6344,2023-04-17
Rosslyn Farms,309,279,6,1,2,816,85,235,16,580,67,2023-04-17
Scott,14400,38541,6002,86,162,80668,5129,30361,1385,50268,3714,2023-04-17
Sewickley,2639,3061,235,5,10,8228,777,2054,196,6162,581,2023-04-17
Sewickley Heights,693,779,28,1,3,2180,162,518,34,1658,128,2023-04-17
Sewickley Hills,465,574,56,0,4,1332,144,365,47,958,97,2023-04-17
Shadyside (Pittsburgh),13536,23361,1725,27,109,63499,3055,8984,482,54500,2566,2023-04-17
Shaler,17891,26764,3139,57,305,56475,6987,15782,1694,40596,5272,2023-04-17
Sharpsburg,1954,3057,323,10,57,6677,730,1682,160,4989,565,2023-04-17
Sheraden (Pittsburgh),3295,5492,642,11,67,10651,1472,2347,249,8307,1221,2023-04-17
South Fayette,11902,25622,3045,67,123,46176,5348,16616,1763,29495,3560,2023-04-17
South Oakland (Pittsburgh),2476,3077,272,6,29,9170,732,1327,97,7845,632,2023-04-17
South Park,8856,13411,1376,18,116,27720,3874,7777,1155,19892,2701,2023-04-17
South Shore (Pittsburgh),267,315,20,0,1,798,72,127,14,671,58,2023-04-17
South Versailles,190,409,45,3,13,680,104,164,27,516,77,2023-04-17
Southside Flats (Pittsburgh),6368,21569,1559,15,62,49978,2492,4355,421,45622,2063,2023-04-17
Southside Slopes (Pittsburgh),2717,4616,619,2,29,9586,1126,1808,201,7776,922,2023-04-17
Spring Garden (Pittsburgh),436,718,85,1,8,1505,189,376,37,1129,152,2023-04-17
Spring Hill-City View (Pittsburgh),1842,5014,719,15,61,9955,729,1602,125,8335,604,2023-04-17
Springdale Borough,2077,3324,315,14,58,6553,854,1773,190,4775,664,2023-04-17
Springdale Township,948,1570,136,3,30,3084,410,733,86,2344,324,2023-04-17
Squirrel Hill North (Pittsburgh),12504,20328,1085,11,32,77947,2018,7469,241,70479,1771,2023-04-17
Squirrel Hill South (Pittsburgh),14699,27160,2709,52,158,67437,3839,7485,421,59926,3381,2023-04-17
St. Clair (Pittsburgh),111,213,13,1,2,439,45,48,7,391,38,2023-04-17
Stanton Heights (Pittsburgh),3110,5801,529,20,63,11818,1170,2658,222,9147,940,2023-04-17
Stowe,3898,6938,920,15,97,13101,1719,3123,317,9989,1400,2023-04-17
Strip District (Pittsburgh),2409,2503,320,2,7,7926,611,2325,168,5594,439,2023-04-17
Summer Hill (Pittsburgh),631,1157,169,3,12,2069,273,542,50,1523,220,2023-04-17
Swisshelm Park (Pittsburgh),946,1152,80,4,13,3185,264,535,53,2650,211,2023-04-17
Swissvale,5726,8855,1022,11,130,20262,2101,3540,303,16725,1793,2023-04-17
Tarentum,2669,5200,798,7,79,9606,1177,2817,304,6792,869,2023-04-17
Terrace Village (Pittsburgh),1631,2565,354,5,38,5946,570,814,58,5138,512,2023-04-17
Thornburg,363,523,49,0,2,1079,143,279,45,798,97,2023-04-17
Trafford,27,41,4,0,0,84,15,28,11,55,4,2023-04-17
Troy Hill (Pittsburgh),1835,2620,209,5,28,6271,625,1187,109,5084,516,2023-04-17
Turtle Creek,3423,6114,795,20,106,12159,1402,3628,337,8533,1063,2023-04-17
Undefined,34745,24327,1860,66,182,123375,4272,31485,821,91886,3444,2023-04-17
